id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1894,PHI,Philadelphia Phillies,71,57,1143,4967,NA,NA
1894,PIT,Pittsburgh Pirates,65,65,955,4676,NA,NA
1894,SFG,San Francisco Giants,88,44,940,4806,NA,NA
1894,STL,St. Louis Cardinals,56,76,771,4610,NA,NA
1894,WAS,Washington Senators,45,87,882,4581,NA,NA
1895,ATL,Atlanta Braves,71,60,907,4715,NA,NA
1895,BLO,Baltimore Orioles,87,43,1009,4725,NA,NA
1895,CHC,Chicago Cubs,72,58,866,4708,NA,NA
1895,CIN,Cincinnati Reds,66,64,903,4684,NA,NA
1895,CLV,Cleveland Spiders,84,46,917,4658,NA,NA
1895,LAD,Los Angeles Dodgers,71,60,867,4717,NA,NA
1895,LOU,Louisville Colonels,35,96,698,4724,NA,NA
1895,PHI,Philadelphia Phillies,78,53,1068,5037,NA,NA
1895,PIT,Pittsburgh Pirates,71,61,811,4645,NA,NA
1895,SFG,San Francisco Giants,66,65,852,4605,NA,NA
1895,STL,St. Louis Cardinals,39,92,747,4781,NA,NA
1895,WAS,Washington Senators,43,85,837,4577,NA,NA
1896,ATL,Atlanta Braves,74,57,860,4717,NA,NA
1896,BLO,Baltimore Orioles,90,39,995,4719,NA,NA
1896,CHC,Chicago Cubs,71,57,815,4582,NA,NA
1896,CIN,Cincinnati Reds,77,50,783,4360,NA,NA
1896,CLV,Cleveland Spiders,80,48,840,4856,NA,NA
1896,LAD,Los Angeles Dodgers,58,73,692,4548,NA,NA
1896,LOU,Louisville Colonels,38,93,653,4588,NA,NA
1896,PHI,Philadelphia Phillies,62,68,890,4680,NA,NA
1896,PIT,Pittsburgh Pirates,66,63,787,4701,NA,NA
1896,SFG,San Francisco Giants,64,67,829,4661,NA,NA
1896,STL,St. Louis Cardinals,40,90,593,4520,NA,NA
1896,WAS,Washington Senators,58,73,818,4639,NA,NA
1897,ATL,Atlanta Braves,93,39,1025,4937,NA,NA
1897,BLO,Baltimore Orioles,90,40,964,4872,NA,NA
1897,CHC,Chicago Cubs,59,73,832,4803,NA,NA
1897,CIN,Cincinnati Reds,76,56,763,4524,NA,NA
1897,CLV,Cleveland Spiders,69,62,773,4604,NA,NA
1897,LAD,Los Angeles Dodgers,61,71,802,4810,NA,NA
1897,LOU,Louisville Colonels,52,78,669,4520,NA,NA
1897,PHI,Philadelphia Phillies,55,77,752,4756,NA,NA
1897,PIT,Pittsburgh Pirates,60,71,676,4590,NA,NA
1897,SFG,San Francisco Giants,83,48,895,4844,NA,NA
1897,STL,St. Louis Cardinals,29,102,588,4642,NA,NA
1897,WAS,Washington Senators,61,71,781,4636,NA,NA
1898,ATL,Atlanta Braves,102,47,872,5276,NA,NA
1898,BLO,Baltimore Orioles,96,53,933,5242,NA,NA
1898,CHC,Chicago Cubs,85,65,828,5219,NA,NA
1898,CIN,Cincinnati Reds,92,60,831,5334,NA,NA
1898,CLV,Cleveland Spiders,81,68,730,5246,NA,NA
1898,LAD,Los Angeles Dodgers,54,91,638,5126,NA,NA
1898,LOU,Louisville Colonels,70,81,728,5193,NA,NA
1898,PHI,Philadelphia Phillies,78,71,823,5118,NA,NA
1898,PIT,Pittsburgh Pirates,72,76,634,5087,NA,NA
1898,SFG,San Francisco Giants,77,73,837,5349,NA,NA
1898,STL,St. Louis Cardinals,39,111,571,5214,NA,NA
1898,WAS,Washington Senators,51,101,704,5257,NA,NA
1899,ATL,Atlanta Braves,95,57,858,5290,NA,NA
1899,BLO,Baltimore Orioles,86,62,827,5073,NA,NA
1899,CHC,Chicago Cubs,75,73,812,5148,NA,NA
1899,CIN,Cincinnati Reds,83,67,856,5225,NA,NA
1899,CLV,Cleveland Spiders,20,134,529,5279,NA,NA
1899,LAD,Los Angeles Dodgers,101,47,892,4937,NA,NA
1899,LOU,Louisville Colonels,75,77,827,5307,NA,NA
1899,PHI,Philadelphia Phillies,94,58,916,5353,NA,NA
1899,PIT,Pittsburgh Pirates,76,73,834,5450,NA,NA
1899,SFG,San Francisco Giants,60,90,734,5092,NA,NA
1899,STL,St. Louis Cardinals,84,67,819,5304,NA,NA
1899,WAS,Washington Senators,54,98,743,5256,NA,NA
1900,ATL,Atlanta Braves,66,72,778,4952,NA,NA
1900,CHC,Chicago Cubs,65,75,635,4907,NA,NA
