name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Bismarck, ND",46.726789,-100.991258,15.486973947895791,62375.0,18.826454380412255,37.0,85.0,7.0,5.0,81.0,11.0,0.0,2.0,1.0,5.0,3.0
"Blackfoot, ID",43.216516,-112.398053,16.69439361171186,48088.0,20.862660220373286,32.5,86.0,7.0,3.0,80.0,10.0,3.0,1.0,2.0,5.0,3.0
"Blacksburg-Christiansburg-Radford, VA",37.120623,-80.532981,20.89579032402836,44564.0,20.839079267976565,32.8,78.0,10.0,8.0,77.0,10.0,2.0,4.0,2.0,4.0,5.0
"Bloomington, IL",40.410662,-88.861724,18.125643666323377,61173.0,18.13089862392193,33.2,81.0,11.0,6.0,80.0,9.0,2.0,5.0,2.0,3.0,4.0
"Bloomington, IN",39.234713,-86.675938,23.594869860430027,42416.0,19.633755542356727,29.7,70.0,15.0,9.0,71.0,10.0,4.0,8.0,3.0,4.0,7.0
"Bloomsburg-Berwick, PA",41.044247,-76.459008,18.735519422237992,47909.0,21.0143607330404,40.8,88.0,5.0,5.0,82.0,8.0,1.0,5.0,1.0,4.0,3.0
"Bluefield, WV-VA",37.25069,-81.359355,17.376775271512113,35910.0,23.058057926988948,42.7,89.0,7.0,2.0,84.0,10.0,0.0,2.0,1.0,3.0,5.0
"Blytheville, AR",35.763902,-90.054166,21.85684406228213,34424.0,17.80127176194592,35.2,83.0,11.0,3.0,80.0,13.0,0.0,2.0,2.0,2.0,2.0
"Bogalusa, LA",30.853342,-90.040525,18.746456692913384,31750.0,32.53835960384991,39.1,88.0,8.0,3.0,81.0,12.0,0.0,2.0,2.0,3.0,2.0
"Boise City, ID",43.016165,-116.14324,22.097053726169843,50776.0,21.50082012028431,34.9,83.0,10.0,3.0,79.0,9.0,0.0,2.0,3.0,7.0,5.0
"Boone, IA",42.036549,-93.931671,18.37083127821831,52714.0,20.741521986045758,41.1,84.0,7.0,7.0,80.0,11.0,1.0,3.0,1.0,5.0,3.0
"Boone, NC",36.231098,-81.696373,28.46918937195345,35491.0,19.108593317334318,29.3,72.0,12.0,12.0,74.0,10.0,2.0,6.0,1.0,7.0,8.0
"Borger, TX",35.840026,-101.354699,14.723146362653896,47191.0,20.2890108659124,37.2,88.0,5.0,3.0,81.0,12.0,0.0,1.0,2.0,3.0,4.0
"Boston-Cambridge-Newton, MA-NH",42.518154,-71.02199,24.501302118291406,74494.0,29.713979321431474,38.7,86.0,7.0,3.0,69.0,7.0,12.0,5.0,2.0,5.0,6.0
"Boulder, CO",40.093527,-105.358526,22.94293082830262,69407.0,22.3640434384035,35.7,76.0,13.0,5.0,65.0,8.0,5.0,5.0,6.0,11.0,9.0
"Bowling Green, KY",37.038686,-86.407062,19.63314591206563,43396.0,21.017433961184764,34.9,79.0,12.0,5.0,82.0,11.0,0.0,3.0,1.0,3.0,3.0
"Bozeman, MT",45.54039,-111.170369,21.61405576632657,54298.0,17.233724583296972,33.0,76.0,13.0,4.0,73.0,9.0,1.0,6.0,4.0,7.0,6.0
"Bradford, PA",41.807748,-78.569025,17.16962225898912,42913.0,19.933494202813254,42.5,87.0,8.0,2.0,82.0,10.0,0.0,4.0,1.0,3.0,2.0
"Brainerd, MN",46.799136,-94.243399,20.359431946713585,47742.0,21.94977487135506,44.7,88.0,6.0,4.0,79.0,10.0,1.0,2.0,2.0,7.0,3.0
"Branson, MO",36.695279,-93.223536,21.803962460896766,38360.0,22.735240564145297,45.3,81.0,9.0,4.0,76.0,16.0,1.0,2.0,1.0,4.0,6.0
"Breckenridge, CO",39.634171,-106.116379,27.749104942576835,64521.0,16.827249842668344,36.6,77.0,11.0,5.0,61.0,11.0,7.0,9.0,3.0,8.0,6.0
"Bremerton-Silverdale, WA",47.639831,-122.648996,23.779872905095,62473.0,29.88596935253785,39.3,81.0,11.0,2.0,69.0,9.0,9.0,5.0,2.0,7.0,4.0
"Brenham, TX",30.21453,-96.403444,17.88934925664148,49236.0,20.40271362586605,41.6,89.0,5.0,5.0,80.0,13.0,0.0,2.0,1.0,3.0,4.0
