id,id_out,year,count
PRO,ECK,1879,1
PRO,HAR,1879,3
PRO,HNA,1879,2
PRO,KEK,1879,1
PRO,LGR,1879,1
PRO,MAN,1879,1
PRO,NAT,1879,1
PRO,NNA,1879,3
PRO,NYU,1879,2
PRO,OLY,1879,1
PRO,PNA,1879,1
PRO,PWS,1879,2
PRO,RES,1879,1
PRO,SBS,1879,1
PRO,SNA,1879,1
PRO,TRO,1879,3
PRO,WBL,1879,1
SYR,LGR,1879,1
SYR,MAR,1879,1
SYR,MLG,1879,2
SYR,NYU,1879,1
SYR,PNA,1879,1
SYR,SBS,1879,1
TRT,BRA,1879,3
TRT,CHC,1879,3
TRT,ECK,1879,1
TRT,HAR,1879,3
TRT,HNA,1879,1
TRT,IBL,1879,1
TRT,LGR,1879,1
TRT,MLG,1879,1
TRT,NHV,1879,2
TRT,NNA,1879,2
TRT,SBS,1879,1
TRT,SNA,1879,1
TRT,TRO,1879,1
TRT,WNT,1879,1
ATL,ATH,1880,2
ATL,BNA,1880,2
ATL,BRA,1880,2
ATL,CFC,1880,1
ATL,CHC,1880,2
ATL,CNR,1880,1
ATL,HAR,1880,2
ATL,HNA,1880,3
ATL,MAN,1880,1
ATL,NNA,1880,1
ATL,PNA,1880,2
ATL,PRO,1880,4
ATL,SYR,1880,1
ATL,WES,1880,1
BUF,ATH,1880,1
BUF,BLC,1880,1
BUF,BRA,1880,1
BUF,CNA,1880,1
BUF,LGR,1880,2
BUF,NHV,1880,1
BUF,NNA,1880,1
BUF,NYU,1880,1
BUF,OLY,1880,1
BUF,PNA,1880,2
BUF,PWS,1880,3
BUF,ROK,1880,2
BUF,SBS,1880,2
BUF,SNA,1880,1
BUF,TRO,1880,1
CBL,CHC,1880,2
CBL,CNR,1880,2
CBL,HNA,1880,1
CBL,IBL,1880,2
CBL,LGR,1880,1
CBL,NNA,1880,1
CBL,PNA,1880,1
CBL,PRO,1880,2
CBL,PWS,1880,2
CBL,SBS,1880,1
CBL,TRO,1880,1
CBL,TRT,1880,2
CHC,BNA,1880,1
CHC,CFC,1880,1
CHC,CNR,1880,1
CHC,IBL,1880,3
CHC,MLG,1880,1
CHC,NHV,1880,1
CHC,OLY,1880,1
CHC,PNA,1880,1
CHC,ROK,1880,1
CHC,SLR,1880,1
CHC,TRT,1880,1
CHC,WBL,1880,1
CNR,ATL,1880,5
CNR,BLC,1880,2
CNR,BNA,1880,3
CNR,BUF,1880,1
CNR,CFC,1880,1
CNR,CHC,1880,1
CNR,HNA,1880,1
CNR,IBL,1880,1
CNR,MAN,1880,1
CNR,MAR,1880,1
CNR,NHV,1880,1
CNR,OLY,1880,1
CNR,PNA,1880,1
CNR,PRO,1880,1
CNR,SBS,1880,1
CNR,SYR,1880,3
CNR,TRT,1880,1
CNR,WNT,1880,1
PRO,ATL,1880,1
PRO,BLC,1880,1
PRO,CHC,1880,4
PRO,CNA,1880,2
PRO,HAR,1880,2
PRO,HNA,1880,1
PRO,MLG,1880,1
PRO,NAT,1880,1
PRO,NNA,1880,1
PRO,NYU,1880,1
PRO,PNA,1880,1
PRO,PWS,1880,2
PRO,SBS,1880,3
PRO,SNA,1880,1
PRO,SYR,1880,2
PRO,TRO,1880,2
PRO,TRT,1880,1
PRO,WBL,1880,1
TRT,ATL,1880,1
TRT,BLC,1880,1
TRT,BRA,1880,2
TRT,CHC,1880,4
TRT,CNA,1880,1
TRT,CNR,1880,1
TRT,HAR,1880,5
TRT,HNA,1880,2
TRT,LGR,1880,1
TRT,MLG,1880,1
TRT,NHV,1880,1
TRT,NNA,1880,2
TRT,NYU,1880,1
TRT,PRO,1880,1
TRT,SYR,1880,1
WOR,ATH,1880,2
WOR,ATL,1880,2
WOR,BRA,1880,1
WOR,BUF,1880,1
WOR,CNR,1880,3
WOR,MLG,1880,3
WOR,NHV,1880,2
WOR,NNA,1880,1
WOR,PNA,1880,1
WOR,PRO,1880,2
WOR,SBS,1880,1
WOR,SLR,1880,1
WOR,SYR,1880,1
ATL,ATH,1881,1
ATL,BLC,1881,2
ATL,BNA,1881,2
ATL,BRA,1881,2
ATL,BUF,1881,2
ATL,CFC,1881,1
ATL,CHC,1881,1
ATL,CNR,1881,3
ATL,HAR,1881,2
ATL,HNA,1881,2
ATL,KEK,1881,1
ATL,LGR,1881,2
ATL,NHV,1881,1
ATL,NNA,1881,2
ATL,NYU,1881,1
ATL,PNA,1881,2
ATL,PRO,1881,2
ATL,PWS,1881,2
ATL,SYR,1881,1
ATL,WBL,1881,1
BUF,ATH,1881,1
BUF,ATL,1881,4
BUF,BLC,1881,2
BUF,BNA,1881,3
BUF,CFC,1881,1
BUF,CHC,1881,2
BUF,CNA,1881,2
BUF,CNR,1881,4
BUF,HNA,1881,1
BUF,MAN,1881,1
BUF,MLG,1881,1
BUF,NYU,1881,1
BUF,OLY,1881,1
BUF,PNA,1881,1
BUF,PRO,1881,2
BUF,SBS,1881,1
BUF,SNA,1881,1
BUF,SYR,1881,1
BUF,TRO,1881,1
BUF,TRT,1881,1
CBL,ATL,1881,1
CBL,BRA,1881,2
CBL,BUF,1881,2
CBL,CHC,1881,5
CBL,CNR,1881,3
CBL,HAR,1881,1
CBL,HNA,1881,2
CBL,IBL,1881,4
CBL,LGR,1881,1
CBL,MAN,1881,1
CBL,NNA,1881,2
CBL,PNA,1881,2
CBL,PRO,1881,3
CBL,PWS,1881,2
CBL,SBS,1881,4
CBL,SNA,1881,1
CBL,SYR,1881,1
CBL,TRO,1881,1
CBL,TRT,1881,2
CBL,WNT,1881,1
CHC,CFC,1881,1
CHC,CNR,1881,1
CHC,IBL,1881,3
CHC,MLG,1881,1
CHC,NHV,1881,1
CHC,PNA,1881,1
CHC,ROK,1881,1
CHC,SLR,1881,1
CHC,TRT,1881,1
DTN,ATH,1881,1
DTN,ATL,1881,6
DTN,BLC,1881,1
DTN,BUF,1881,3
DTN,CBL,1881,1
DTN,CHC,1881,2
DTN,CNA,1881,1
DTN,CNR,1881,4
DTN,LGR,1881,1
DTN,MLG,1881,2
DTN,NNA,1881,1
DTN,PNA,1881,1
DTN,PRO,1881,5
DTN,SBS,1881,2
DTN,SNA,1881,1
DTN,SYR,1881,1
DTN,TRT,1881,3
DTN,WBL,1881,1
DTN,WOR,1881,4
PRO,ATL,1881,1
PRO,BLC,1881,2
PRO,BUF,1881,1
PRO,CBL,1881,1
PRO,CHC,1881,4
PRO,CNA,1881,1
PRO,CNR,1881,1
PRO,HAR,1881,2
PRO,HNA,1881,1
PRO,KEK,1881,1
PRO,NAT,1881,1
PRO,NNA,1881,2
PRO,NYU,1881,2
PRO,PWS,1881,1
PRO,SYR,1881,1
PRO,TRO,1881,1
PRO,WBL,1881,1
TRT,BRA,1881,2
TRT,CBL,1881,1
TRT,CHC,1881,3
TRT,HAR,1881,2
TRT,HNA,1881,1
TRT,LGR,1881,1
TRT,MLG,1881,1
TRT,NHV,1881,1
TRT,NNA,1881,1
TRT,SYR,1881,1
WOR,ATH,1881,1
WOR,ATL,1881,1
WOR,BLC,1881,1
WOR,BRA,1881,1
WOR,CBL,1881,1
WOR,CNR,1881,6
WOR,ECK,1881,1
WOR,HNA,1881,1
WOR,IBL,1881,1
WOR,MLG,1881,1
WOR,NNA,1881,1
WOR,PRO,1881,3
WOR,SBS,1881,2
WOR,SNA,1881,1
WOR,SYR,1881,4
WOR,TRO,1881,2
WOR,TRT,1881,3
ATL,ATH,1882,1
ATL,BLC,1882,1
ATL,BRA,1882,1
ATL,BUF,1882,1
ATL,CBL,1882,1
ATL,CFC,1882,1
ATL,CNR,1882,2
ATL,DTN,1882,1
ATL,HAR,1882,1
ATL,HNA,1882,1
ATL,KEK,1882,1
ATL,NNA,1882,2
ATL,NYU,1882,1
ATL,PNA,1882,1
ATL,PRO,1882,1
ATL,WOR,1882,1
BLO,ATL,1882,2
BLO,BLC,1882,1
BLO,CHC,1882,1
BLO,CNR,1882,1
BLO,DTN,1882,1
BLO,NHV,1882,1
BLO,PRO,1882,2
BLO,SBS,1882,1
BLO,SNA,1882,1
BLO,WOR,1882,1
BUF,ATH,1882,1
BUF,ATL,1882,3
BUF,BLC,1882,1
BUF,BNA,1882,2
BUF,CBL,1882,1
BUF,CFC,1882,1
BUF,CHC,1882,2
BUF,CNA,1882,1
BUF,CNR,1882,2
BUF,MAN,1882,1
BUF,NYU,1882,1
BUF,OLY,1882,1
BUF,PNA,1882,1
BUF,PRO,1882,1
BUF,SBS,1882,1
BUF,SNA,1882,1
BUF,SYR,1882,1
BUF,TRO,1882,1
BUF,TRT,1882,1
CBL,ATL,1882,1
CBL,BRA,1882,1
CBL,BUF,1882,2
CBL,CHC,1882,4
CBL,DTN,1882,1
CBL,HNA,1882,1
CBL,IBL,1882,2
CBL,LGR,1882,1
CBL,NNA,1882,1
CBL,PNA,1882,1
CBL,PRO,1882,1
CBL,PWS,1882,1
CBL,SBS,1882,1
CBL,SNA,1882,1
CBL,SYR,1882,1
CBL,TRT,1882,3
CBL,WNT,1882,1
CBL,WOR,1882,1
CHC,CFC,1882,1
CHC,CNR,1882,1
CHC,IBL,1882,3
CHC,MLG,1882,1
CHC,NHV,1882,1
CHC,PNA,1882,1
CHC,ROK,1882,1
CHC,SLR,1882,1
CHC,TRT,1882,1
CIN,ATL,1882,3
CIN,BLC,1882,1
CIN,BUF,1882,2
CIN,CBL,1882,3
CIN,CHC,1882,1
CIN,CNR,1882,4
CIN,DTN,1882,2
CIN,LGR,1882,2
CIN,NHV,1882,1
CIN,NNA,1882,1
CIN,PRO,1882,2
CIN,PWS,1882,2
CIN,ROK,1882,1
CIN,SYR,1882,3
CIN,WBL,1882,1
CIN,WOR,1882,2
DTN,ATH,1882,1
DTN,ATL,1882,1
DTN,BUF,1882,2
DTN,CBL,1882,2
DTN,MLG,1882,1
DTN,NHV,1882,1
DTN,PNA,1882,2
DTN,PRO,1882,1
DTN,PWS,1882,1
DTN,SBS,1882,1
DTN,TRO,1882,1
DTN,WOR,1882,4
LOU,BUF,1882,2
LOU,CBL,1882,1
LOU,CNR,1882,2
LOU,DTN,1882,1
LOU,PNA,1882,1
LOU,PWS,1882,1
LOU,ROK,1882,1
LOU,SBS,1882,1
LOU,WOR,1882,1
PHA,ATL,1882,1
PHA,BLC,1882,1
PHA,BNA,1882,1
PHA,BUF,1882,1
PHA,CBL,1882,1
PHA,CNR,1882,2
PHA,DTN,1882,1
PHA,LGR,1882,1
PHA,MAR,1882,1
PHA,MLG,1882,1
PHA,NHV,1882,1
PHA,PNA,1882,1
PHA,PWS,1882,1
PHA,SYR,1882,1
PHA,TRT,1882,2
PHA,WNT,1882,1
PHA,WOR,1882,2
PIT,ATL,1882,1
PIT,BRA,1882,1
PIT,BUF,1882,4
PIT,CBL,1882,3
PIT,CFC,1882,1
PIT,CHC,1882,1
PIT,CNA,1882,1
PIT,CNR,1882,1
PIT,DTN,1882,2
PIT,IBL,1882,1
PIT,MLG,1882,2
PIT,NHV,1882,1
PIT,PNA,1882,1
PIT,PRO,1882,2
PIT,SBS,1882,1
PIT,SNA,1882,1
PIT,SYR,1882,1
PIT,TRT,1882,1
PIT,WOR,1882,1
PRO,ATL,1882,1
PRO,BLC,1882,1
PRO,BNA,1882,1
PRO,BUF,1882,1
