name,state,breast,colorectal,prostate,lung,melanoma,poverty,income,region,lat,lon
dixie,fl,114.5,41.9,68.8,100,20.5,27.1,31649,south_atlantic,29.581242,-83.187032
duval,fl,132.8,44,145.7,78.1,20.3,17.1,47876,south_atlantic,30.335441,-81.648009
escambia,fl,122.6,38.8,109.8,78.4,18.9,17.6,42742,south_atlantic,30.614396,-87.341364
flagler,fl,121.8,36.4,93.3,67.7,25.7,14.5,47872,south_atlantic,29.47115,-81.292995
gadsden,fl,97.3,33.6,112.8,66.4,11.2,25.3,34348,south_atlantic,30.579469,-84.613599
gilchrist,fl,114.7,28,61.9,74.3,22.9,21.9,39854,south_atlantic,29.725823,-82.800367
hardee,fl,103.2,54.3,74.9,69,16.7,28.8,34884,south_atlantic,27.492698,-81.809926
hendry,fl,89,34.8,88.6,65.2,12.6,25.1,37085,south_atlantic,26.553489,-81.165901
hernando,fl,105.7,34.5,101.2,74.9,24.8,15.6,39280,south_atlantic,28.556171,-82.468489
highlands,fl,105.4,36.5,74,73.3,26.8,20.1,34054,south_atlantic,27.343404,-81.340971
hillsborough,fl,121.8,42.7,129.5,69.7,20.8,16.8,49510,south_atlantic,27.906229,-82.346921
indian river,fl,103.1,35.7,98.2,67,32.2,14.1,44326,south_atlantic,27.696391,-80.57409
jackson,fl,61.6,34.3,67.4,48.4,10.2,26.3,36332,south_atlantic,30.795391,-85.21546
lake,fl,117.7,43.6,129.5,76,22.3,14.5,44244,south_atlantic,28.761471,-81.711299
lee,fl,109.8,32.3,101.2,59.2,22.1,16.3,46605,south_atlantic,26.57569,-81.915453
leon,fl,117,32.9,117.4,54.8,15.4,21.7,46975,south_atlantic,30.458039,-84.277881
levy,fl,114.2,47.3,80.1,103.5,22.3,23.6,33193,south_atlantic,29.282206,-82.788613
manatee,fl,110.2,34.3,83.8,59,25.7,16,48066,south_atlantic,27.477523,-82.35754
marion,fl,127.4,43.1,132.1,82,20.5,19.6,38783,south_atlantic,29.210202,-82.056676
martin,fl,128.2,29.8,116.3,59.6,24.6,13.5,51159,south_atlantic,27.081621,-80.398471
miami-dade,fl,105,42.8,125.9,44.4,8.4,21,41840,south_atlantic,25.608968,-80.498667
monroe,fl,107.7,37.1,72.7,54.6,28.1,16.8,50380,south_atlantic,25.04678,-81.185692
nassau,fl,137,37.6,109.4,81.2,31.6,13.4,56987,south_atlantic,30.610578,-81.771418
okaloosa,fl,113.3,37.8,91.7,71.8,27.1,13.4,54265,south_atlantic,30.66503,-86.592175
okeechobee,fl,110.3,50.9,73.8,93.3,15.7,25.7,35954,south_atlantic,27.386292,-80.888576
orange,fl,114.3,42.3,122.1,57.6,17.3,18.2,46675,south_atlantic,28.514423,-81.323478
osceola,fl,105.1,37,114,54.7,16.9,20.7,41592,south_atlantic,28.062665,-81.1495
palm beach,fl,118.9,32.9,113.2,54.1,21.7,15,51768,south_atlantic,26.647568,-80.436508
pasco,fl,112.6,40.5,111.1,75.9,25.2,13.5,45454,south_atlantic,28.30674,-82.438868
pinellas,fl,120.4,35.8,93.3,68.9,21.2,15.1,43773,south_atlantic,27.902676,-82.739554
polk,fl,120.9,43,124.9,74.4,28.5,19.3,42447,south_atlantic,27.948866,-81.697681
putnam,fl,116.7,41.7,110.6,97.2,19.9,26.9,32852,south_atlantic,29.608635,-81.744304
santa rosa,fl,112.2,32.8,103.4,74.9,22.9,13.8,54876,south_atlantic,30.692904,-87.018449
sarasota,fl,124.9,32.9,94.9,57.6,30.7,13,48717,south_atlantic,27.182478,-82.364974
seminole,fl,117,37.4,107.2,54.2,21.6,12.9,55195,south_atlantic,28.716977,-81.236306
st. johns,fl,127.1,30.8,114.2,65.2,31,9.6,66312,south_atlantic,29.912184,-81.409887
