year,team,team_name,league
1920,SLN,St. Louis Cardinals,NL
1920,WS1,Washington Senators,AL
1921,BOS,Boston Red Sox,AL
1921,BRO,Brooklyn Robins,NL
1921,BSN,Boston Braves,NL
1921,CHA,Chicago White Sox,AL
1921,CHN,Chicago Cubs,NL
1921,CIN,Cincinnati Reds,NL
1921,CLE,Cleveland Indians,AL
1921,DET,Detroit Tigers,AL
1921,NY1,New York Giants,NL
1921,NYA,New York Yankees,AL
1921,PHA,Philadelphia Athletics,AL
1921,PHI,Philadelphia Phillies,NL
1921,PIT,Pittsburgh Pirates,NL
1921,SLA,St. Louis Browns,AL
1921,SLN,St. Louis Cardinals,NL
1921,WS1,Washington Senators,AL
1922,BOS,Boston Red Sox,AL
1922,BRO,Brooklyn Robins,NL
1922,BSN,Boston Braves,NL
1922,CHA,Chicago White Sox,AL
1922,CHN,Chicago Cubs,NL
1922,CIN,Cincinnati Reds,NL
1922,CLE,Cleveland Indians,AL
1922,DET,Detroit Tigers,AL
1922,NY1,New York Giants,NL
1922,NYA,New York Yankees,AL
1922,PHA,Philadelphia Athletics,AL
1922,PHI,Philadelphia Phillies,NL
1922,PIT,Pittsburgh Pirates,NL
1922,SLA,St. Louis Browns,AL
1922,SLN,St. Louis Cardinals,NL
1922,WS1,Washington Senators,AL
1923,BOS,Boston Red Sox,AL
1923,BRO,Brooklyn Robins,NL
1923,BSN,Boston Braves,NL
1923,CHA,Chicago White Sox,AL
1923,CHN,Chicago Cubs,NL
1923,CIN,Cincinnati Reds,NL
1923,CLE,Cleveland Indians,AL
1923,DET,Detroit Tigers,AL
1923,NY1,New York Giants,NL
1923,NYA,New York Yankees,AL
1923,PHA,Philadelphia Athletics,AL
1923,PHI,Philadelphia Phillies,NL
1923,PIT,Pittsburgh Pirates,NL
1923,SLA,St. Louis Browns,AL
1923,SLN,St. Louis Cardinals,NL
1923,WS1,Washington Senators,AL
1924,BOS,Boston Red Sox,AL
1924,BRO,Brooklyn Robins,NL
1924,BSN,Boston Braves,NL
1924,CHA,Chicago White Sox,AL
1924,CHN,Chicago Cubs,NL
1924,CIN,Cincinnati Reds,NL
1924,CLE,Cleveland Indians,AL
1924,DET,Detroit Tigers,AL
1924,NY1,New York Giants,NL
1924,NYA,New York Yankees,AL
1924,PHA,Philadelphia Athletics,AL
1924,PHI,Philadelphia Phillies,NL
1924,PIT,Pittsburgh Pirates,NL
1924,SLA,St. Louis Browns,AL
1924,SLN,St. Louis Cardinals,NL
1924,WS1,Washington Senators,AL
1925,BOS,Boston Red Sox,AL
1925,BRO,Brooklyn Robins,NL
1925,BSN,Boston Braves,NL
1925,CHA,Chicago White Sox,AL
1925,CHN,Chicago Cubs,NL
1925,CIN,Cincinnati Reds,NL
1925,CLE,Cleveland Indians,AL
1925,DET,Detroit Tigers,AL
1925,NY1,New York Giants,NL
1925,NYA,New York Yankees,AL
1925,PHA,Philadelphia Athletics,AL
1925,PHI,Philadelphia Phillies,NL
1925,PIT,Pittsburgh Pirates,NL
1925,SLA,St. Louis Browns,AL
1925,SLN,St. Louis Cardinals,NL
1925,WS1,Washington Senators,AL
1926,BOS,Boston Red Sox,AL
1926,BRO,Brooklyn Robins,NL
1926,BSN,Boston Braves,NL
1926,CHA,Chicago White Sox,AL
1926,CHN,Chicago Cubs,NL
1926,CIN,Cincinnati Reds,NL
1926,CLE,Cleveland Indians,AL
1926,DET,Detroit Tigers,AL
1926,NY1,New York Giants,NL
1926,NYA,New York Yankees,AL
1926,PHA,Philadelphia Athletics,AL
1926,PHI,Philadelphia Phillies,NL
1926,PIT,Pittsburgh Pirates,NL
1926,SLA,St. Louis Browns,AL
1926,SLN,St. Louis Cardinals,NL
1926,WS1,Washington Senators,AL
1927,BOS,Boston Red Sox,AL
1927,BRO,Brooklyn Robins,NL
1927,BSN,Boston Braves,NL
1927,CHA,Chicago White Sox,AL
1927,CHN,Chicago Cubs,NL
1927,CIN,Cincinnati Reds,NL
1927,CLE,Cleveland Indians,AL
1927,DET,Detroit Tigers,AL
1927,NY1,New York Giants,NL
1927,NYA,New York Yankees,AL
1927,PHA,Philadelphia Athletics,AL
1927,PHI,Philadelphia Phillies,NL
1927,PIT,Pittsburgh Pirates,NL
1927,SLA,St. Louis Browns,AL
1927,SLN,St. Louis Cardinals,NL
1927,WS1,Washington Senators,AL
1928,BOS,Boston Red Sox,AL
1928,BRO,Brooklyn Robins,NL
1928,BSN,Boston Braves,NL
1928,CHA,Chicago White Sox,AL
1928,CHN,Chicago Cubs,NL
1928,CIN,Cincinnati Reds,NL
1928,CLE,Cleveland Indians,AL
1928,DET,Detroit Tigers,AL
1928,NY1,New York Giants,NL
1928,NYA,New York Yankees,AL
1928,PHA,Philadelphia Athletics,AL
1928,PHI,Philadelphia Phillies,NL
1928,PIT,Pittsburgh Pirates,NL
1928,SLA,St. Louis Browns,AL
1928,SLN,St. Louis Cardinals,NL
1928,WS1,Washington Senators,AL
1929,BOS,Boston Red Sox,AL
1929,BRO,Brooklyn Robins,NL
1929,BSN,Boston Braves,NL
1929,CHA,Chicago White Sox,AL
1929,CHN,Chicago Cubs,NL
1929,CIN,Cincinnati Reds,NL
1929,CLE,Cleveland Indians,AL
1929,DET,Detroit Tigers,AL
1929,NY1,New York Giants,NL
1929,NYA,New York Yankees,AL
1929,PHA,Philadelphia Athletics,AL
1929,PHI,Philadelphia Phillies,NL
1929,PIT,Pittsburgh Pirates,NL
1929,SLA,St. Louis Browns,AL
1929,SLN,St. Louis Cardinals,NL
1929,WS1,Washington Senators,AL
1930,BOS,Boston Red Sox,AL
1930,BRO,Brooklyn Robins,NL
1930,BSN,Boston Braves,NL
1930,CHA,Chicago White Sox,AL
1930,CHN,Chicago Cubs,NL
1930,CIN,Cincinnati Reds,NL
1930,CLE,Cleveland Indians,AL
1930,DET,Detroit Tigers,AL
1930,NY1,New York Giants,NL
1930,NYA,New York Yankees,AL
1930,PHA,Philadelphia Athletics,AL
1930,PHI,Philadelphia Phillies,NL
1930,PIT,Pittsburgh Pirates,NL
1930,SLA,St. Louis Browns,AL
1930,SLN,St. Louis Cardinals,NL
1930,WS1,Washington Senators,AL
1931,BOS,Boston Red Sox,AL
1931,BRO,Brooklyn Robins,NL
1931,BSN,Boston Braves,NL
1931,CHA,Chicago White Sox,AL
1931,CHN,Chicago Cubs,NL
1931,CIN,Cincinnati Reds,NL
1931,CLE,Cleveland Indians,AL
1931,DET,Detroit Tigers,AL
1931,NY1,New York Giants,NL
1931,NYA,New York Yankees,AL
1931,PHA,Philadelphia Athletics,AL
1931,PHI,Philadelphia Phillies,NL
1931,PIT,Pittsburgh Pirates,NL
1931,SLA,St. Louis Browns,AL
1931,SLN,St. Louis Cardinals,NL
1931,WS1,Washington Senators,AL
1932,BOS,Boston Red Sox,AL
1932,BRO,Brooklyn Dodgers,NL
1932,BSN,Boston Braves,NL
1932,CHA,Chicago White Sox,AL
1932,CHN,Chicago Cubs,NL
1932,CIN,Cincinnati Reds,NL
1932,CLE,Cleveland Indians,AL
1932,DET,Detroit Tigers,AL
1932,NY1,New York Giants,NL
1932,NYA,New York Yankees,AL
1932,PHA,Philadelphia Athletics,AL
1932,PHI,Philadelphia Phillies,NL
1932,PIT,Pittsburgh Pirates,NL
1932,SLA,St. Louis Browns,AL
1932,SLN,St. Louis Cardinals,NL
1932,WS1,Washington Senators,AL
1933,BOS,Boston Red Sox,AL
1933,BRO,Brooklyn Dodgers,NL
1933,BSN,Boston Braves,NL
1933,CHA,Chicago White Sox,AL
1933,CHN,Chicago Cubs,NL
1933,CIN,Cincinnati Reds,NL
1933,CLE,Cleveland Indians,AL
1933,DET,Detroit Tigers,AL
1933,NY1,New York Giants,NL
1933,NYA,New York Yankees,AL
1933,PHA,Philadelphia Athletics,AL
1933,PHI,Philadelphia Phillies,NL
1933,PIT,Pittsburgh Pirates,NL
1933,SLA,St. Louis Browns,AL
1933,SLN,St. Louis Cardinals,NL
1933,WS1,Washington Senators,AL
1934,BOS,Boston Red Sox,AL
1934,BRO,Brooklyn Dodgers,NL
1934,BSN,Boston Braves,NL
1934,CHA,Chicago White Sox,AL
1934,CHN,Chicago Cubs,NL
1934,CIN,Cincinnati Reds,NL
1934,CLE,Cleveland Indians,AL
1934,DET,Detroit Tigers,AL
1934,NY1,New York Giants,NL
1934,NYA,New York Yankees,AL
1934,PHA,Philadelphia Athletics,AL
1934,PHI,Philadelphia Phillies,NL
1934,PIT,Pittsburgh Pirates,NL
1934,SLA,St. Louis Browns,AL
1934,SLN,St. Louis Cardinals,NL
1934,WS1,Washington Senators,AL
1935,BOS,Boston Red Sox,AL
1935,BRO,Brooklyn Dodgers,NL
1935,BSN,Boston Braves,NL
1935,CHA,Chicago White Sox,AL
1935,CHN,Chicago Cubs,NL
1935,CIN,Cincinnati Reds,NL
1935,CLE,Cleveland Indians,AL
1935,DET,Detroit Tigers,AL
1935,NY1,New York Giants,NL
1935,NYA,New York Yankees,AL
1935,PHA,Philadelphia Athletics,AL
1935,PHI,Philadelphia Phillies,NL
1935,PIT,Pittsburgh Pirates,NL
1935,SLA,St. Louis Browns,AL
1935,SLN,St. Louis Cardinals,NL
1935,WS1,Washington Senators,AL
1936,BOS,Boston Red Sox,AL
1936,BRO,Brooklyn Dodgers,NL
1936,BSN,Boston Bees,NL
1936,CHA,Chicago White Sox,AL
1936,CHN,Chicago Cubs,NL
1936,CIN,Cincinnati Reds,NL
1936,CLE,Cleveland Indians,AL
1936,DET,Detroit Tigers,AL
1936,NY1,New York Giants,NL
1936,NYA,New York Yankees,AL
1936,PHA,Philadelphia Athletics,AL
1936,PHI,Philadelphia Phillies,NL
1936,PIT,Pittsburgh Pirates,NL
1936,SLA,St. Louis Browns,AL
1936,SLN,St. Louis Cardinals,NL
1936,WS1,Washington Senators,AL
1937,BOS,Boston Red Sox,AL
1937,BRO,Brooklyn Dodgers,NL
1937,BSN,Boston Bees,NL
1937,CHA,Chicago White Sox,AL
1937,CHN,Chicago Cubs,NL
1937,CIN,Cincinnati Reds,NL
1937,CLE,Cleveland Indians,AL
1937,DET,Detroit Tigers,AL
1937,NY1,New York Giants,NL
1937,NYA,New York Yankees,AL
1937,PHA,Philadelphia Athletics,AL
1937,PHI,Philadelphia Phillies,NL
1937,PIT,Pittsburgh Pirates,NL
1937,SLA,St. Louis Browns,AL
1937,SLN,St. Louis Cardinals,NL
1937,WS1,Washington Senators,AL
1938,BOS,Boston Red Sox,AL
1938,BRO,Brooklyn Dodgers,NL
1938,BSN,Boston Bees,NL
1938,CHA,Chicago White Sox,AL
1938,CHN,Chicago Cubs,NL
1938,CIN,Cincinnati Reds,NL
1938,CLE,Cleveland Indians,AL
1938,DET,Detroit Tigers,AL
1938,NY1,New York Giants,NL
1938,NYA,New York Yankees,AL
1938,PHA,Philadelphia Athletics,AL
1938,PHI,Philadelphia Phillies,NL
1938,PIT,Pittsburgh Pirates,NL
1938,SLA,St. Louis Browns,AL
1938,SLN,St. Louis Cardinals,NL
1938,WS1,Washington Senators,AL
1939,BOS,Boston Red Sox,AL
1939,BRO,Brooklyn Dodgers,NL
1939,BSN,Boston Bees,NL
1939,CHA,Chicago White Sox,AL
1939,CHN,Chicago Cubs,NL
1939,CIN,Cincinnati Reds,NL
1939,CLE,Cleveland Indians,AL
1939,DET,Detroit Tigers,AL
1939,NY1,New York Giants,NL
1939,NYA,New York Yankees,AL
1939,PHA,Philadelphia Athletics,AL
1939,PHI,Philadelphia Phillies,NL
1939,PIT,Pittsburgh Pirates,NL
1939,SLA,St. Louis Browns,AL
1939,SLN,St. Louis Cardinals,NL
1939,WS1,Washington Senators,AL
1940,BOS,Boston Red Sox,AL
1940,BRO,Brooklyn Dodgers,NL
1940,BSN,Boston Bees,NL
1940,CHA,Chicago White Sox,AL
1940,CHN,Chicago Cubs,NL
1940,CIN,Cincinnati Reds,NL
1940,CLE,Cleveland Indians,AL
1940,DET,Detroit Tigers,AL
1940,NY1,New York Giants,NL
1940,NYA,New York Yankees,AL
1940,PHA,Philadelphia Athletics,AL
1940,PHI,Philadelphia Phillies,NL
1940,PIT,Pittsburgh Pirates,NL
1940,SLA,St. Louis Browns,AL
1940,SLN,St. Louis Cardinals,NL
1940,WS1,Washington Senators,AL
1941,BOS,Boston Red Sox,AL
1941,BRO,Brooklyn Dodgers,NL
1941,BSN,Boston Braves,NL
1941,CHA,Chicago White Sox,AL
1941,CHN,Chicago Cubs,NL
1941,CIN,Cincinnati Reds,NL
1941,CLE,Cleveland Indians,AL
1941,DET,Detroit Tigers,AL
1941,NY1,New York Giants,NL
1941,NYA,New York Yankees,AL
1941,PHA,Philadelphia Athletics,AL
1941,PHI,Philadelphia Phillies,NL
1941,PIT,Pittsburgh Pirates,NL
1941,SLA,St. Louis Browns,AL
1941,SLN,St. Louis Cardinals,NL
1941,WS1,Washington Senators,AL
1942,BOS,Boston Red Sox,AL
1942,BRO,Brooklyn Dodgers,NL
1942,BSN,Boston Braves,NL
1942,CHA,Chicago White Sox,AL
1942,CHN,Chicago Cubs,NL
1942,CIN,Cincinnati Reds,NL
1942,CLE,Cleveland Indians,AL
1942,DET,Detroit Tigers,AL
1942,NY1,New York Giants,NL
1942,NYA,New York Yankees,AL
1942,PHA,Philadelphia Athletics,AL
1942,PHI,Philadelphia Phillies,NL
1942,PIT,Pittsburgh Pirates,NL
1942,SLA,St. Louis Browns,AL
1942,SLN,St. Louis Cardinals,NL
1942,WS1,Washington Senators,AL
1943,BOS,Boston Red Sox,AL
1943,BRO,Brooklyn Dodgers,NL
1943,BSN,Boston Braves,NL
1943,CHA,Chicago White Sox,AL
1943,CHN,Chicago Cubs,NL
1943,CIN,Cincinnati Reds,NL
1943,CLE,Cleveland Indians,AL
1943,DET,Detroit Tigers,AL
1943,NY1,New York Giants,NL
1943,NYA,New York Yankees,AL
1943,PHA,Philadelphia Athletics,AL
1943,PHI,Philadelphia Blue Jays,NL
1943,PIT,Pittsburgh Pirates,NL
1943,SLA,St. Louis Browns,AL
1943,SLN,St. Louis Cardinals,NL
1943,WS1,Washington Senators,AL
1944,BOS,Boston Red Sox,AL
1944,BRO,Brooklyn Dodgers,NL
1944,BSN,Boston Braves,NL
1944,CHA,Chicago White Sox,AL
1944,CHN,Chicago Cubs,NL
1944,CIN,Cincinnati Reds,NL
1944,CLE,Cleveland Indians,AL
1944,DET,Detroit Tigers,AL
1944,NY1,New York Giants,NL
1944,NYA,New York Yankees,AL
1944,PHA,Philadelphia Athletics,AL
1944,PHI,Philadelphia Blue Jays,NL
1944,PIT,Pittsburgh Pirates,NL
1944,SLA,St. Louis Browns,AL
1944,SLN,St. Louis Cardinals,NL
1944,WS1,Washington Senators,AL
1945,BOS,Boston Red Sox,AL
1945,BRO,Brooklyn Dodgers,NL
1945,BSN,Boston Braves,NL
1945,CHA,Chicago White Sox,AL
1945,CHN,Chicago Cubs,NL
1945,CIN,Cincinnati Reds,NL
1945,CLE,Cleveland Indians,AL
1945,DET,Detroit Tigers,AL
1945,NY1,New York Giants,NL
1945,NYA,New York Yankees,AL
1945,PHA,Philadelphia Athletics,AL
1945,PHI,Philadelphia Phillies,NL
1945,PIT,Pittsburgh Pirates,NL
1945,SLA,St. Louis Browns,AL
1945,SLN,St. Louis Cardinals,NL
1945,WS1,Washington Senators,AL
1946,BOS,Boston Red Sox,AL
1946,BRO,Brooklyn Dodgers,NL
1946,BSN,Boston Braves,NL
1946,CHA,Chicago White Sox,AL
1946,CHN,Chicago Cubs,NL
1946,CIN,Cincinnati Reds,NL
1946,CLE,Cleveland Indians,AL
1946,DET,Detroit Tigers,AL
1946,NY1,New York Giants,NL
1946,NYA,New York Yankees,AL
1946,PHA,Philadelphia Athletics,AL
1946,PHI,Philadelphia Phillies,NL
1946,PIT,Pittsburgh Pirates,NL
1946,SLA,St. Louis Browns,AL
1946,SLN,St. Louis Cardinals,NL
1946,WS1,Washington Senators,AL
1947,BOS,Boston Red Sox,AL
1947,BRO,Brooklyn Dodgers,NL
1947,BSN,Boston Braves,NL
1947,CHA,Chicago White Sox,AL
1947,CHN,Chicago Cubs,NL
1947,CIN,Cincinnati Reds,NL
1947,CLE,Cleveland Indians,AL
1947,DET,Detroit Tigers,AL
1947,NY1,New York Giants,NL
1947,NYA,New York Yankees,AL
1947,PHA,Philadelphia Athletics,AL
1947,PHI,Philadelphia Phillies,NL
1947,PIT,Pittsburgh Pirates,NL
1947,SLA,St. Louis Browns,AL
1947,SLN,St. Louis Cardinals,NL
1947,WS1,Washington Senators,AL
1948,BOS,Boston Red Sox,AL
1948,BRO,Brooklyn Dodgers,NL
1948,BSN,Boston Braves,NL
1948,CHA,Chicago White Sox,AL
1948,CHN,Chicago Cubs,NL
1948,CIN,Cincinnati Reds,NL
1948,CLE,Cleveland Indians,AL
1948,DET,Detroit Tigers,AL
1948,NY1,New York Giants,NL
1948,NYA,New York Yankees,AL
1948,PHA,Philadelphia Athletics,AL
1948,PHI,Philadelphia Phillies,NL
1948,PIT,Pittsburgh Pirates,NL
1948,SLA,St. Louis Browns,AL
1948,SLN,St. Louis Cardinals,NL
1948,WS1,Washington Senators,AL
1949,BOS,Boston Red Sox,AL
1949,BRO,Brooklyn Dodgers,NL
1949,BSN,Boston Braves,NL
1949,CHA,Chicago White Sox,AL
1949,CHN,Chicago Cubs,NL
1949,CIN,Cincinnati Reds,NL
1949,CLE,Cleveland Indians,AL
1949,DET,Detroit Tigers,AL
1949,NY1,New York Giants,NL
1949,NYA,New York Yankees,AL
1949,PHA,Philadelphia Athletics,AL
1949,PHI,Philadelphia Phillies,NL
1949,PIT,Pittsburgh Pirates,NL
1949,SLA,St. Louis Browns,AL
1949,SLN,St. Louis Cardinals,NL
1949,WS1,Washington Senators,AL
1950,BOS,Boston Red Sox,AL
1950,BRO,Brooklyn Dodgers,NL
1950,BSN,Boston Braves,NL
1950,CHA,Chicago White Sox,AL
1950,CHN,Chicago Cubs,NL
1950,CIN,Cincinnati Reds,NL
1950,CLE,Cleveland Indians,AL
1950,DET,Detroit Tigers,AL
1950,NY1,New York Giants,NL
1950,NYA,New York Yankees,AL
1950,PHA,Philadelphia Athletics,AL
1950,PHI,Philadelphia Phillies,NL
1950,PIT,Pittsburgh Pirates,NL
1950,SLA,St. Louis Browns,AL
1950,SLN,St. Louis Cardinals,NL
1950,WS1,Washington Senators,AL
1951,BOS,Boston Red Sox,AL
1951,BRO,Brooklyn Dodgers,NL
1951,BSN,Boston Braves,NL
1951,CHA,Chicago White Sox,AL
1951,CHN,Chicago Cubs,NL
1951,CIN,Cincinnati Reds,NL
1951,CLE,Cleveland Indians,AL
1951,DET,Detroit Tigers,AL
1951,NY1,New York Giants,NL
1951,NYA,New York Yankees,AL
1951,PHA,Philadelphia Athletics,AL
1951,PHI,Philadelphia Phillies,NL
1951,PIT,Pittsburgh Pirates,NL
1951,SLA,St. Louis Browns,AL
1951,SLN,St. Louis Cardinals,NL
1951,WS1,Washington Senators,AL
1952,BOS,Boston Red Sox,AL
1952,BRO,Brooklyn Dodgers,NL
1952,BSN,Boston Braves,NL
1952,CHA,Chicago White Sox,AL
1952,CHN,Chicago Cubs,NL
1952,CIN,Cincinnati Reds,NL
1952,CLE,Cleveland Indians,AL
1952,DET,Detroit Tigers,AL
1952,NY1,New York Giants,NL
1952,NYA,New York Yankees,AL
1952,PHA,Philadelphia Athletics,AL
1952,PHI,Philadelphia Phillies,NL
1952,PIT,Pittsburgh Pirates,NL
1952,SLA,St. Louis Browns,AL
1952,SLN,St. Louis Cardinals,NL
1952,WS1,Washington Senators,AL
1953,BOS,Boston Red Sox,AL
1953,BRO,Brooklyn Dodgers,NL
1953,CHA,Chicago White Sox,AL
1953,CHN,Chicago Cubs,NL
1953,CIN,Cincinnati Reds,NL
1953,CLE,Cleveland Indians,AL
1953,DET,Detroit Tigers,AL
1953,ML1,Milwaukee Braves,NL
1953,NY1,New York Giants,NL
1953,NYA,New York Yankees,AL
1953,PHA,Philadelphia Athletics,AL
1953,PHI,Philadelphia Phillies,NL
1953,PIT,Pittsburgh Pirates,NL
1953,SLA,St. Louis Browns,AL
1953,SLN,St. Louis Cardinals,NL
1953,WS1,Washington Senators,AL
1954,BAL,Baltimore Orioles,AL
1954,BOS,Boston Red Sox,AL
1954,BRO,Brooklyn Dodgers,NL
1954,CHA,Chicago White Sox,AL
1954,CHN,Chicago Cubs,NL
1954,CIN,Cincinnati Redlegs,NL
1954,CLE,Cleveland Indians,AL
1954,DET,Detroit Tigers,AL
1954,ML1,Milwaukee Braves,NL
1954,NY1,New York Giants,NL
1954,NYA,New York Yankees,AL
1954,PHA,Philadelphia Athletics,AL
1954,PHI,Philadelphia Phillies,NL
1954,PIT,Pittsburgh Pirates,NL
1954,SLN,St. Louis Cardinals,NL
1954,WS1,Washington Senators,AL
1955,BAL,Baltimore Orioles,AL
1955,BOS,Boston Red Sox,AL
1955,BRO,Brooklyn Dodgers,NL
1955,CHA,Chicago White Sox,AL
1955,CHN,Chicago Cubs,NL
1955,CIN,Cincinnati Redlegs,NL
1955,CLE,Cleveland Indians,AL
1955,DET,Detroit Tigers,AL
1955,KC1,Kansas City Athletics,AL
1955,ML1,Milwaukee Braves,NL
1955,NY1,New York Giants,NL
1955,NYA,New York Yankees,AL
1955,PHI,Philadelphia Phillies,NL
1955,PIT,Pittsburgh Pirates,NL
1955,SLN,St. Louis Cardinals,NL
1955,WS1,Washington Senators,AL
1956,BAL,Baltimore Orioles,AL
1956,BOS,Boston Red Sox,AL
1956,BRO,Brooklyn Dodgers,NL
1956,CHA,Chicago White Sox,AL
1956,CHN,Chicago Cubs,NL
1956,CIN,Cincinnati Redlegs,NL
1956,CLE,Cleveland Indians,AL
1956,DET,Detroit Tigers,AL
1956,KC1,Kansas City Athletics,AL
1956,ML1,Milwaukee Braves,NL
1956,NY1,New York Giants,NL
1956,NYA,New York Yankees,AL
1956,PHI,Philadelphia Phillies,NL
1956,PIT,Pittsburgh Pirates,NL
1956,SLN,St. Louis Cardinals,NL
1956,WS1,Washington Senators,AL
1957,BAL,Baltimore Orioles,AL
1957,BOS,Boston Red Sox,AL
1957,BRO,Brooklyn Dodgers,NL
1957,CHA,Chicago White Sox,AL
1957,CHN,Chicago Cubs,NL
1957,CIN,Cincinnati Redlegs,NL
1957,CLE,Cleveland Indians,AL
1957,DET,Detroit Tigers,AL
1957,KC1,Kansas City Athletics,AL
1957,ML1,Milwaukee Braves,NL
1957,NY1,New York Giants,NL
1957,NYA,New York Yankees,AL
1957,PHI,Philadelphia Phillies,NL
1957,PIT,Pittsburgh Pirates,NL
1957,SLN,St. Louis Cardinals,NL
1957,WS1,Washington Senators,AL
1958,BAL,Baltimore Orioles,AL
1958,BOS,Boston Red Sox,AL
1958,CHA,Chicago White Sox,AL
1958,CHN,Chicago Cubs,NL
1958,CIN,Cincinnati Redlegs,NL
1958,CLE,Cleveland Indians,AL
1958,DET,Detroit Tigers,AL
1958,KC1,Kansas City Athletics,AL
1958,LAN,Los Angeles Dodgers,NL
1958,ML1,Milwaukee Braves,NL
1958,NYA,New York Yankees,AL
1958,PHI,Philadelphia Phillies,NL
1958,PIT,Pittsburgh Pirates,NL
1958,SFN,San Francisco Giants,NL
1958,SLN,St. Louis Cardinals,NL
1958,WS1,Washington Senators,AL
1959,BAL,Baltimore Orioles,AL
1959,BOS,Boston Red Sox,AL
1959,CHA,Chicago White Sox,AL
1959,CHN,Chicago Cubs,NL
1959,CIN,Cincinnati Redlegs,NL
1959,CLE,Cleveland Indians,AL
1959,DET,Detroit Tigers,AL
1959,KC1,Kansas City Athletics,AL
1959,LAN,Los Angeles Dodgers,NL
1959,ML1,Milwaukee Braves,NL
1959,NYA,New York Yankees,AL
1959,PHI,Philadelphia Phillies,NL
1959,PIT,Pittsburgh Pirates,NL
1959,SFN,San Francisco Giants,NL
1959,SLN,St. Louis Cardinals,NL
1959,WS1,Washington Senators,AL
1960,BAL,Baltimore Orioles,AL
1960,BOS,Boston Red Sox,AL
1960,CHA,Chicago White Sox,AL
1960,CHN,Chicago Cubs,NL
1960,CIN,Cincinnati Reds,NL
1960,CLE,Cleveland Indians,AL
1960,DET,Detroit Tigers,AL
1960,KC1,Kansas City Athletics,AL
1960,LAN,Los Angeles Dodgers,NL
1960,ML1,Milwaukee Braves,NL
1960,NYA,New York Yankees,AL
1960,PHI,Philadelphia Phillies,NL
1960,PIT,Pittsburgh Pirates,NL
1960,SFN,San Francisco Giants,NL
1960,SLN,St. Louis Cardinals,NL
1960,WS1,Washington Senators,AL
1961,BAL,Baltimore Orioles,AL
1961,BOS,Boston Red Sox,AL
1961,CHA,Chicago White Sox,AL
1961,CHN,Chicago Cubs,NL
1961,CIN,Cincinnati Reds,NL
1961,CLE,Cleveland Indians,AL
1961,DET,Detroit Tigers,AL
1961,KC1,Kansas City Athletics,AL
1961,LAA,Los Angeles Angels,AL
1961,LAN,Los Angeles Dodgers,NL
1961,MIN,Minnesota Twins,AL
1961,ML1,Milwaukee Braves,NL
1961,NYA,New York Yankees,AL
1961,PHI,Philadelphia Phillies,NL
1961,PIT,Pittsburgh Pirates,NL
1961,SFN,San Francisco Giants,NL
1961,SLN,St. Louis Cardinals,NL
1961,WS2,Washington Senators,AL
1962,BAL,Baltimore Orioles,AL
1962,BOS,Boston Red Sox,AL
1962,CHA,Chicago White Sox,AL
1962,CHN,Chicago Cubs,NL
1962,CIN,Cincinnati Reds,NL
1962,CLE,Cleveland Indians,AL
1962,DET,Detroit Tigers,AL
1962,HOU,Houston Colt .45's,NL
1962,KC1,Kansas City Athletics,AL
1962,LAA,Los Angeles Angels,AL
1962,LAN,Los Angeles Dodgers,NL
1962,MIN,Minnesota Twins,AL
1962,ML1,Milwaukee Braves,NL
1962,NYA,New York Yankees,AL
1962,NYN,New York Mets,NL
1962,PHI,Philadelphia Phillies,NL
1962,PIT,Pittsburgh Pirates,NL
1962,SFN,San Francisco Giants,NL
1962,SLN,St. Louis Cardinals,NL
1962,WS2,Washington Senators,AL
1963,BAL,Baltimore Orioles,AL
1963,BOS,Boston Red Sox,AL
1963,CHA,Chicago White Sox,AL
1963,CHN,Chicago Cubs,NL
1963,CIN,Cincinnati Reds,NL
1963,CLE,Cleveland Indians,AL
1963,DET,Detroit Tigers,AL
1963,HOU,Houston Colt .45's,NL
1963,KC1,Kansas City Athletics,AL
1963,LAA,Los Angeles Angels,AL
1963,LAN,Los Angeles Dodgers,NL
1963,MIN,Minnesota Twins,AL
1963,ML1,Milwaukee Braves,NL
1963,NYA,New York Yankees,AL
1963,NYN,New York Mets,NL
1963,PHI,Philadelphia Phillies,NL
1963,PIT,Pittsburgh Pirates,NL
1963,SFN,San Francisco Giants,NL
1963,SLN,St. Louis Cardinals,NL
1963,WS2,Washington Senators,AL
1964,BAL,Baltimore Orioles,AL
1964,BOS,Boston Red Sox,AL
1964,CHA,Chicago White Sox,AL
1964,CHN,Chicago Cubs,NL
1964,CIN,Cincinnati Reds,NL
1964,CLE,Cleveland Indians,AL
1964,DET,Detroit Tigers,AL
1964,HOU,Houston Colt .45's,NL
1964,KC1,Kansas City Athletics,AL
1964,LAA,Los Angeles Angels,AL
1964,LAN,Los Angeles Dodgers,NL
1964,MIN,Minnesota Twins,AL
1964,ML1,Milwaukee Braves,NL
1964,NYA,New York Yankees,AL
1964,NYN,New York Mets,NL
1964,PHI,Philadelphia Phillies,NL
1964,PIT,Pittsburgh Pirates,NL
1964,SFN,San Francisco Giants,NL
1964,SLN,St. Louis Cardinals,NL
1964,WS2,Washington Senators,AL
1965,BAL,Baltimore Orioles,AL
1965,BOS,Boston Red Sox,AL
1965,CAL,California Angels,AL
1965,CHA,Chicago White Sox,AL
1965,CHN,Chicago Cubs,NL
1965,CIN,Cincinnati Reds,NL
