county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Arlington County,38.880688,-77.110555,26.109463788093656,100837.0,26.101849439958322,29.8,63.0,9.0,9.0,40.0,1.0,37.0,14.0,3.0,6.0,northern_virginia
Arlington County,38.882904,-77.105088,23.98986763354608,120801.0,25.683575626353232,33.2,81.0,9.0,2.0,38.0,3.0,40.0,17.0,0.0,3.0,northern_virginia
Arlington County,38.891435,-77.096193,20.491293532338307,115776.0,27.95116988809766,31.5,74.0,12.0,2.0,45.0,7.0,34.0,7.0,3.0,5.0,northern_virginia
Arlington County,38.899482,-77.080534,25.526802570605845,104878.0,26.511156186612578,30.4,64.0,22.0,2.0,51.0,8.0,24.0,8.0,2.0,7.0,northern_virginia
Arlington County,38.894037,-77.083809,20.670780788838208,93175.0,28.522039757994815,31.0,77.0,11.0,3.0,43.0,0.0,48.0,6.0,2.0,2.0,northern_virginia
Arlington County,38.896172,-77.074886,25.461725593725117,91667.0,26.951525282072712,31.8,68.0,7.0,5.0,28.0,3.0,56.0,8.0,3.0,2.0,northern_virginia
Arlington County,38.88984,-77.081373,25.25776776588038,100769.0,24.36165577342048,29.2,63.0,9.0,9.0,38.0,2.0,41.0,12.0,2.0,5.0,northern_virginia
Arlington County,38.892785,-77.074014,22.97886073906729,92955.0,24.532467532467532,32.8,72.0,7.0,1.0,40.0,5.0,42.0,6.0,2.0,5.0,northern_virginia
Arlington County,38.889322,-77.074888,21.862508236327695,91060.0,25.634686346863468,32.4,80.0,7.0,2.0,42.0,4.0,28.0,14.0,1.0,11.0,northern_virginia
Arlington County,38.885342,-77.092622,22.230237860278354,146935.0,26.802325581395348,32.5,71.0,8.0,5.0,56.0,4.0,26.0,5.0,3.0,7.0,northern_virginia
Arlington County,38.887856,-77.086834,22.021660649819495,119664.0,26.81217232733075,30.8,74.0,12.0,2.0,36.0,4.0,40.0,11.0,3.0,6.0,northern_virginia
Arlington County,38.878953,-77.088656,24.048709940084827,82283.0,30.168361978253245,31.3,74.0,11.0,9.0,61.0,4.0,26.0,4.0,0.0,5.0,northern_virginia
Arlington County,38.877923,-77.097987,20.41271020105034,169659.0,28.258196721311474,34.0,82.0,6.0,3.0,54.0,5.0,25.0,3.0,4.0,9.0,northern_virginia
Arlington County,38.875427,-77.110603,26.199442320407044,69574.0,28.59244727807749,31.6,85.0,4.0,8.0,54.0,1.0,40.0,4.0,0.0,1.0,northern_virginia
Arlington County,38.878613,-77.105031,27.39710554182845,70825.0,29.33478260869565,28.8,85.0,6.0,6.0,47.0,1.0,37.0,4.0,6.0,5.0,northern_virginia
Arlington County,38.871938,-77.106605,35.63427976035426,46068.0,27.30228044638525,36.8,77.0,14.0,2.0,53.0,8.0,31.0,4.0,0.0,4.0,northern_virginia
Arlington County,38.863584,-77.124743,19.98904109589041,100375.0,25.62725631768953,47.9,91.0,2.0,1.0,73.0,11.0,6.0,3.0,4.0,4.0,northern_virginia
Arlington County,38.857776,-77.118271,38.8311377245509,41750.0,28.833831115938093,31.8,82.0,12.0,5.0,54.0,12.0,28.0,2.0,2.0,2.0,northern_virginia
Arlington County,38.866418,-77.105443,21.0153267808792,120769.0,29.360780065005418,37.8,90.0,2.0,0.0,61.0,11.0,19.0,2.0,3.0,3.0,northern_virginia
Arlington County,38.861613,-77.103011,23.331043803868567,90266.0,26.6892177589852,36.6,84.0,4.0,4.0,57.0,3.0,29.0,3.0,3.0,4.0,northern_virginia
Arlington County,38.870638,-77.089096,24.804171093923742,80938.0,27.570093457943926,36.7,85.0,5.0,2.0,68.0,6.0,20.0,2.0,1.0,3.0,northern_virginia
