id,name_full
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
